Category,Sub-Category,Service Name,Scope / Unit,Service Description,Estimated Price (INR)
Appliance Repair,AC,Foam-Jet Service,1 AC,Indoor & outdoor unit deep cleaning with foam and high-pressure jet spray.,₹549 - ₹699
Appliance Repair,AC,Gas Refill & Leak Fix,1 AC,"Nitrogen leak test, brazing minor leaks, and complete refrigerant gas recharge.","₹2,500 - ₹3,500"
Appliance Repair,AC,PCB / Motherboard Repair,1 Board,"Inverter/Non-inverter main board circuit diagnosis, repair, and testing.","₹1,500 - ₹4,500"
Appliance Repair,AC,Installation / Uninstallation,1 AC,Standard wall mounting/dismounting of split AC units (excludes core cutting).,"₹699 - ₹1,499"
Appliance Repair,Washing Machine,Deep Cleaning / Descaling,1 Machine,Chemical descaling and drum deep clean for Front/Top load machines.,₹499 - ₹799
Appliance Repair,Washing Machine,Motor / Drum Repair,1 Machine,"Diagnosis and replacement of main motor, suspension rods, or drum belts.","₹1,200 - ₹4,500"
Appliance Repair,Refrigerator,Compressor Repair,1 Fridge,"Diagnosis of cooling failures, gas check, and compressor repair/replacement.","₹1,500 - ₹6,500"
Appliance Repair,Refrigerator,Thermostat / Relay Fix,1 Fridge,Fixing overcooling or no-cooling issues via thermostat/relay replacements.,"₹599 - ₹1,800"
Appliance Repair,Water Purifier (RO),Standard Service,1 RO Unit,"Pre-filter replacement, internal tank cleaning, and output TDS check.",₹449 - ₹599
Appliance Repair,Water Purifier (RO),Membrane Replacement,1 RO Unit,Replacing primary RO membrane and carbon filters for hard water issues.,"₹1,200 - ₹3,500"
Appliance Repair,Kitchen Chimney,Deep Degreasing,1 Chimney,"Dismantling baffles, motor cover, and intense chemical degreasing of sticky oil.","₹799 - ₹1,299"
Appliance Repair,Microwave/Oven,Heating Issue Fix,1 Unit,"Diagnosis and replacement of magnetron, high-voltage fuse, or keypad.","₹599 - ₹2,500"
Appliance Repair,Television,Wall Mounting,1 TV,Drilling and heavy-duty mounting for LED/LCD TVs (up to 55 inches).,₹399 - ₹899
Cleaning,Full Home,1 BHK Deep Clean (Furnished),1 BHK,"Machine floor scrubbing, dry vacuuming, complete kitchen & bath deep clean.","₹2,899 - ₹3,599"
Cleaning,Full Home,2 BHK Deep Clean (Furnished),2 BHK,"Machine floor scrubbing, dry vacuuming, complete kitchen & bath deep clean.","₹3,899 - ₹4,899"
Cleaning,Full Home,3 BHK Deep Clean (Furnished),3 BHK,"Machine floor scrubbing, dry vacuuming, complete kitchen & bath deep clean.","₹5,199 - ₹6,599"
Cleaning,Bathroom,Intense Cleaning,1 Bathroom,"Machine scrubbing of floor/tiles, hard water stain & scale removal.",₹499 - ₹549
